Resemblance : 
199707237189.json,0.0213815789474,../datasets/JSON/199707237189.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Broward', 'dist_to_military_base': 3, 'windy': True, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19970723', 'military_area': 0, 'population': 15}
199408255069.json,0.0213815789474,../datasets/JSON/199408255069.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'New York', 'dist_to_military_base': 1, 'windy': False, 'state': 'NY', 'military_component': 'Army Active', 'airport_type': 'seaplane_base', 'sighted_at': '19940825', 'military_area': 2265, 'population': 15}
199103087213.json,0.0213815789474,../datasets/JSON/199103087213.json,{'rainy': False, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Pembina', 'dist_to_military_base': 14, 'windy': False, 'state': 'ND', 'military_component': 'AF Active', 'airport_type': 'small_airport', 'sighted_at': '19910308', 'military_area': 4940, 'population': 0}
199008086307.json,0.0213815789474,../datasets/JSON/199008086307.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Suffolk', 'dist_to_military_base': 2, 'windy': False, 'state': 'MA', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19900808', 'military_area': 11489, 'population': 6}
19940409501.json,0.0213815789474,../datasets/JSON/19940409501.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Lowndes', 'dist_to_military_base': 2, 'windy': False, 'state': 'GA', 'military_component': 'AF Active', 'airport_type': 'small_airport', 'sighted_at': '19940409', 'military_area': 53994, 'population': 0}
1995010293.json,0.0213815789474,../datasets/JSON/1995010293.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Pasco', 'dist_to_military_base': 5, 'windy': False, 'state': 'FL', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19950102', 'military_area': 59114, 'population': 3}
199807087251.json,0.0213815789474,../datasets/JSON/199807087251.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Winnebago', 'dist_to_military_base': 13, 'windy': False, 'state': 'WI', 'military_component': 'AF Guard', 'airport_type': 'small_airport', 'sighted_at': '19980708', 'military_area': 34913, 'population': 1}
199702147226.json,0.0213815789474,../datasets/JSON/199702147226.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Clark', 'dist_to_military_base': 0, 'windy': False, 'state': 'NV', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19970214', 'military_area': 201, 'population': 11}
1995091352.json,0.0213815789474,../datasets/JSON/1995091352.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Nueces', 'dist_to_military_base': 1, 'windy': False, 'state': 'TX', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19950913', 'military_area': 9952, 'population': 3}
199304156876.json,0.0213815789474,../datasets/JSON/199304156876.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Virginia Beach City', 'dist_to_military_base': 0, 'windy': False, 'state': 'VA', 'military_component': 'Navy Active', 'airport_type': 'medium_airport', 'sighted_at': '19930415', 'military_area': 67145, 'population': 4}
199407155963.json,0.0213815789474,../datasets/JSON/199407155963.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Niagara', 'dist_to_military_base': 31, 'windy': False, 'state': 'NY', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19940715', 'military_area': 13075, 'population': 2}
199207207042.json,0.0213815789474,../datasets/JSON/199207207042.json,{'rainy': True, 'dist_to_airport': 4, 'snowy': True, 'dusty': False, 'countyName': 'Mariposa', 'dist_to_military_base': 10, 'windy': False, 'state': 'CA', 'military_component': 'MC Active', 'airport_type': 'small_airport', 'sighted_at': '19920720', 'military_area': 816386, 'population': 0}
199707037178.json,0.0213815789474,../datasets/JSON/199707037178.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Allegan', 'dist_to_military_base': 8, 'windy': True, 'state': 'MI', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19970703', 'military_area': 111071, 'population': 1}
19941115548.json,0.0213815789474,../datasets/JSON/19941115548.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Johnson', 'dist_to_military_base': 7, 'windy': False, 'state': 'TN', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19941115', 'military_area': 1343, 'population': 0}
199807077179.json,0.0213815789474,../datasets/JSON/199807077179.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Clarke', 'dist_to_military_base': 9, 'windy': False, 'state': 'GA', 'military_component': 'Army Guard', 'airport_type': 'medium_airport', 'sighted_at': '19980707', 'military_area': 155, 'population': 0}
199109017430.json,0.0213815789474,../datasets/JSON/199109017430.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Jones', 'dist_to_military_base': 1, 'windy': False, 'state': 'TX', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19910901', 'military_area': 61135, 'population': 0}
199306016884.json,0.0213815789474,../datasets/JSON/199306016884.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Waldo', 'dist_to_military_base': 6, 'windy': False, 'state': 'ME', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19930601', 'military_area': 3307, 'population': 0}
199901057332.json,0.0213815789474,../datasets/JSON/199901057332.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Larimer', 'dist_to_military_base': 11, 'windy': False, 'state': 'CO', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19990105', 'military_area': 44809, 'population': 2}
199408019.json,0.0213815789474,../datasets/JSON/199408019.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'King', 'dist_to_military_base': 3, 'windy': False, 'state': 'WA', 'military_component': 'Navy Active', 'airport_type': 'small_airport', 'sighted_at': '19940801', 'military_area': 4776, 'population': 16}
1994123140.json,0.0213815789474,../datasets/JSON/1994123140.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Adams', 'dist_to_military_base': 9, 'windy': False, 'state': 'OH', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19941231', 'military_area': 6178, 'population': 0}
199203017040.json,0.0213815789474,../datasets/JSON/199203017040.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Dallas', 'dist_to_military_base': 6, 'windy': False, 'state': 'TX', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19920301', 'military_area': 1696, 'population': 19}
199211247133.json,0.0213815789474,../datasets/JSON/199211247133.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Suffolk', 'dist_to_military_base': 2, 'windy': False, 'state': 'NY', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19921124', 'military_area': 1230, 'population': 13}
199206156907.json,0.0213815789474,../datasets/JSON/199206156907.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Hunt', 'dist_to_military_base': 14, 'windy': False, 'state': 'TX', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19920615', 'military_area': 1696, 'population': 0}
199910157376.json,0.0213815789474,../datasets/JSON/199910157376.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Suffolk', 'dist_to_military_base': 0, 'windy': False, 'state': 'MA', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19991015', 'military_area': 11489, 'population': 6}
199310046837.json,0.0213815789474,../datasets/JSON/199310046837.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Pike', 'dist_to_military_base': 10, 'windy': False, 'state': 'MO', 'military_component': 'AF Active', 'airport_type': 'small_airport', 'sighted_at': '19931004', 'military_area': 413, 'population': 0}
199102156779.json,0.0213815789474,../datasets/JSON/199102156779.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Kent', 'dist_to_military_base': 9, 'windy': True, 'state': 'MI', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19910215', 'military_area': 111071, 'population': 5}
199707017243.json,0.0213815789474,../datasets/JSON/199707017243.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Ulster', 'dist_to_military_base': 5, 'windy': False, 'state': 'NY', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19970701', 'military_area': 3747, 'population': 1}
199206287055.json,0.0213815789474,../datasets/JSON/199206287055.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Jackson', 'dist_to_military_base': 1, 'windy': True, 'state': 'MS', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19920628', 'military_area': 1423, 'population': 1}
199911107330.json,0.0213815789474,../datasets/JSON/199911107330.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Henderson', 'dist_to_military_base': 8, 'windy': False, 'state': 'KY', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19991110', 'military_area': 143969, 'population': 0}
199008256237.json,0.0213815789474,../datasets/JSON/199008256237.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Du Page', 'dist_to_military_base': 3, 'windy': True, 'state': 'IL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19900825', 'military_area': 476, 'population': 7}
199408105964.json,0.0213815789474,../datasets/JSON/199408105964.json,{'rainy': True, 'dist_to_airport': 5, 'snowy': False, 'dusty': False, 'countyName': 'Ferry', 'dist_to_military_base': 46, 'windy': False, 'state': 'WA', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19940810', 'military_area': 394, 'population': 0}
199908017406.json,0.0213815789474,../datasets/JSON/199908017406.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Santa Clara', 'dist_to_military_base': 1, 'windy': True, 'state': 'CA', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19990801', 'military_area': 635, 'population': 16}
199610317192.json,0.0213815789474,../datasets/JSON/199610317192.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Wichita', 'dist_to_military_base': 1, 'windy': False, 'state': 'KS', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19961031', 'military_area': 34250, 'population': 0}
199412127465.json,0.0213815789474,../datasets/JSON/199412127465.json,{'rainy': False, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Guilford', 'dist_to_military_base': 11, 'windy': False, 'state': 'NC', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19941212', 'military_area': 61207, 'population': 3}
1995061111.json,0.0213815789474,../datasets/JSON/1995061111.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Bristol', 'dist_to_military_base': 2, 'windy': False, 'state': 'MA', 'military_component': 'Army Active', 'airport_type': 'small_airport', 'sighted_at': '19950611', 'military_area': 978, 'population': 5}
19941015814.json,0.0213815789474,../datasets/JSON/19941015814.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Snohomish', 'dist_to_military_base': 3, 'windy': False, 'state': 'WA', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19941015', 'military_area': 4776, 'population': 5}
199112017672.json,0.0213815789474,../datasets/JSON/199112017672.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Clinton', 'dist_to_military_base': 6, 'windy': True, 'state': 'OH', 'military_component': 'Navy Active', 'airport_type': 'closed', 'sighted_at': '19911201', 'military_area': 446, 'population': 0}
199608017114.json,0.0213815789474,../datasets/JSON/199608017114.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Ontario', 'dist_to_military_base': 12, 'windy': False, 'state': 'NY', 'military_component': 'MC Reserve', 'airport_type': 'small_airport', 'sighted_at': '19960801', 'military_area': 4016, 'population': 0}
1995062547.json,0.0213815789474,../datasets/JSON/1995062547.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Minnehaha', 'dist_to_military_base': 0, 'windy': False, 'state': 'SD', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19950625', 'military_area': 881, 'population': 1}
199906127334.json,0.0213815789474,../datasets/JSON/199906127334.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Bossier', 'dist_to_military_base': 1, 'windy': False, 'state': 'LA', 'military_component': 'AF Active', 'airport_type': 'large_airport', 'sighted_at': '19990612', 'military_area': 250433, 'population': 0}
199906257372.json,0.0213815789474,../datasets/JSON/199906257372.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Bonneville', 'dist_to_military_base': 30, 'windy': False, 'state': 'ID', 'military_component': 'AF Active', 'airport_type': 'medium_airport', 'sighted_at': '19990625', 'military_area': 9930, 'population': 0}
199902017286.json,0.0213815789474,../datasets/JSON/199902017286.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Coconino', 'dist_to_military_base': 0, 'windy': False, 'state': 'AZ', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19990201', 'military_area': 3475, 'population': 1}
1995100272.json,0.0213815789474,../datasets/JSON/1995100272.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Providence', 'dist_to_military_base': 3, 'windy': False, 'state': 'RI', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19951002', 'military_area': 5456, 'population': 6}
199710157257.json,0.0213815789474,../datasets/JSON/199710157257.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'San Bernardino', 'dist_to_military_base': 0, 'windy': True, 'state': 'CA', 'military_component': 'MC Active', 'airport_type': 'heliport', 'sighted_at': '19971015', 'military_area': 20387, 'population': 16}
199601017090.json,0.0213815789474,../datasets/JSON/199601017090.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Del Norte', 'dist_to_military_base': 25, 'windy': False, 'state': 'CA', 'military_component': 'AF Guard', 'airport_type': 'medium_airport', 'sighted_at': '19960101', 'military_area': 4628, 'population': 0}
1995020727.json,0.0213815789474,../datasets/JSON/1995020727.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Jefferson', 'dist_to_military_base': 2, 'windy': False, 'state': 'WA', 'military_component': 'Navy Active', 'airport_type': 'small_airport', 'sighted_at': '19950207', 'military_area': 128318, 'population': 0}
199706017291.json,0.0213815789474,../datasets/JSON/199706017291.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Baltimore City', 'dist_to_military_base': 2, 'windy': False, 'state': 'MD', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19970601', 'military_area': 2377, 'population': 6}
199912287347.json,0.0213815789474,../datasets/JSON/199912287347.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Ferry', 'dist_to_military_base': 21, 'windy': True, 'state': 'WA', 'military_component': 'Navy Active', 'airport_type': 'small_airport', 'sighted_at': '19991228', 'military_area': 394, 'population': 0}
199611137185.json,0.0213815789474,../datasets/JSON/199611137185.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Orange', 'dist_to_military_base': 2, 'windy': True, 'state': 'CA', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19961113', 'military_area': 63131, 'population': 26}
1995092482.json,0.0213815789474,../datasets/JSON/1995092482.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Pacific', 'dist_to_military_base': 5, 'windy': False, 'state': 'WA', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19950924', 'military_area': 4776, 'population': 0}
199805157190.json,0.0213815789474,../datasets/JSON/199805157190.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Lee', 'dist_to_military_base': 6, 'windy': False, 'state': 'MS', 'military_component': 'AF Active', 'airport_type': 'small_airport', 'sighted_at': '19980515', 'military_area': 51404, 'population': 0}
199804167182.json,0.0213815789474,../datasets/JSON/199804167182.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': True, 'dusty': False, 'countyName': 'Lawrence', 'dist_to_military_base': 11, 'windy': False, 'state': 'KY', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19980416', 'military_area': 1628, 'population': 0}
199610157069.json,0.0213815789474,../datasets/JSON/199610157069.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Benton', 'dist_to_military_base': 7, 'windy': False, 'state': 'TN', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19961015', 'military_area': 19669, 'population': 0}
199609017139.json,0.0213815789474,../datasets/JSON/199609017139.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Broward', 'dist_to_military_base': 3, 'windy': False, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19960901', 'military_area': 0, 'population': 14}
1995082226.json,0.0213815789474,../datasets/JSON/1995082226.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Yavapai', 'dist_to_military_base': 11, 'windy': False, 'state': 'AZ', 'military_component': 'AF Active', 'airport_type': 'medium_airport', 'sighted_at': '19950822', 'military_area': 8878, 'population': 1}
199807157247.json,0.0213815789474,../datasets/JSON/199807157247.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Kings', 'dist_to_military_base': 0, 'windy': False, 'state': 'NY', 'military_component': 'Army Active', 'airport_type': 'seaplane_base', 'sighted_at': '19980715', 'military_area': 2265, 'population': 24}
199306256807.json,0.0213815789474,../datasets/JSON/199306256807.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Oakland', 'dist_to_military_base': 0, 'windy': False, 'state': 'MI', 'military_component': 'Army Active', 'airport_type': 'heliport', 'sighted_at': '19930625', 'military_area': 2740, 'population': 11}
199607057163.json,0.0213815789474,../datasets/JSON/199607057163.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Juniata', 'dist_to_military_base': 3, 'windy': False, 'state': 'PA', 'military_component': 'Navy Active', 'airport_type': 'small_airport', 'sighted_at': '19960705', 'military_area': 11186, 'population': 0}
199012236361.json,0.0213815789474,../datasets/JSON/199012236361.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Clay', 'dist_to_military_base': 1, 'windy': True, 'state': 'AL', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19901223', 'military_area': 2940, 'population': 0}
199810157138.json,0.0213815789474,../datasets/JSON/199810157138.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Geneva', 'dist_to_military_base': 0, 'windy': False, 'state': 'AL', 'military_component': 'Army Active', 'airport_type': 'small_airport', 'sighted_at': '19981015', 'military_area': 3389, 'population': 0}
199008016198.json,0.0213815789474,../datasets/JSON/199008016198.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Winnebago', 'dist_to_military_base': 16, 'windy': True, 'state': 'WI', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19900801', 'military_area': 2680, 'population': 1}
199106017001.json,0.0213815789474,../datasets/JSON/199106017001.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Sandoval', 'dist_to_military_base': 1, 'windy': False, 'state': 'NM', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19910601', 'military_area': 1456, 'population': 0}
19941230569.json,0.0213815789474,../datasets/JSON/19941230569.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Los Angeles', 'dist_to_military_base': 2, 'windy': True, 'state': 'CA', 'military_component': 'AF Active', 'airport_type': 'closed', 'sighted_at': '19941230', 'military_area': 679, 'population': 90}
199208246914.json,0.0213815789474,../datasets/JSON/199208246914.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Broward', 'dist_to_military_base': 2, 'windy': False, 'state': 'FL', 'military_component': 'AF Reserve', 'airport_type': 'heliport', 'sighted_at': '19920824', 'military_area': 28739, 'population': 13}
199108167039.json,0.0213815789474,../datasets/JSON/199108167039.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Plymouth', 'dist_to_military_base': 5, 'windy': False, 'state': 'MA', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19910816', 'military_area': 298660, 'population': 4}
199701157279.json,0.0213815789474,../datasets/JSON/199701157279.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Richland', 'dist_to_military_base': 2, 'windy': True, 'state': 'SC', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19970115', 'military_area': 28316, 'population': 3}
199309236771.json,0.0213815789474,../datasets/JSON/199309236771.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Fairfield', 'dist_to_military_base': 7, 'windy': False, 'state': 'CT', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19930923', 'military_area': 22661, 'population': 8}
199905197241.json,0.0213815789474,../datasets/JSON/199905197241.json,{'rainy': False, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Kern', 'dist_to_military_base': 13, 'windy': True, 'state': 'CA', 'military_component': 'AF Active', 'airport_type': 'heliport', 'sighted_at': '19990519', 'military_area': 3716665, 'population': 6}
199108297699.json,0.0213815789474,../datasets/JSON/199108297699.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Valley', 'dist_to_military_base': 16, 'windy': False, 'state': 'ID', 'military_component': 'AF Guard', 'airport_type': 'small_airport', 'sighted_at': '19910829', 'military_area': 9056, 'population': 0}
19940726403.json,0.0213815789474,../datasets/JSON/19940726403.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Clackamas', 'dist_to_military_base': 1, 'windy': False, 'state': 'OR', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19940726', 'military_area': 1283, 'population': 3}
199106066660.json,0.0213815789474,../datasets/JSON/199106066660.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Washington', 'dist_to_military_base': 0, 'windy': False, 'state': 'DC', 'military_component': 'Army Active', 'airport_type': 'small_airport', 'sighted_at': '19910606', 'military_area': 2777, 'population': 6}
199909227312.json,0.0213815789474,../datasets/JSON/199909227312.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Bates', 'dist_to_military_base': 8, 'windy': False, 'state': 'MO', 'military_component': 'Army Guard', 'airport_type': 'small_airport', 'sighted_at': '19990922', 'military_area': 16379, 'population': 0}
199408154877.json,0.0213815789474,../datasets/JSON/199408154877.json,{'rainy': True, 'dist_to_airport': 1, 'snowy': False, 'dusty': False, 'countyName': 'Dallas', 'dist_to_military_base': 4, 'windy': False, 'state': 'IA', 'military_component': 'AF Guard', 'airport_type': 'closed', 'sighted_at': '19940815', 'military_area': 2338, 'population': 0}
199411232541.json,0.0213815789474,../datasets/JSON/199411232541.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Glacier', 'dist_to_military_base': 47, 'windy': False, 'state': 'MT', 'military_component': 'Navy Active', 'airport_type': 'closed', 'sighted_at': '19941123', 'military_area': 394, 'population': 0}
199106017205.json,0.0213815789474,../datasets/JSON/199106017205.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'St Lawrence', 'dist_to_military_base': 5, 'windy': False, 'state': 'NY', 'military_component': 'Army Active', 'airport_type': 'small_airport', 'sighted_at': '19910601', 'military_area': 1706345, 'population': 1}
199703157270.json,0.0213815789474,../datasets/JSON/199703157270.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Broward', 'dist_to_military_base': 3, 'windy': True, 'state': 'FL', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19970315', 'military_area': 0, 'population': 15}
199008156337.json,0.0213815789474,../datasets/JSON/199008156337.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Tarrant', 'dist_to_military_base': 1, 'windy': False, 'state': 'TX', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19900815', 'military_area': 18812, 'population': 11}
199706107284.json,0.0213815789474,../datasets/JSON/199706107284.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Starr', 'dist_to_military_base': 37, 'windy': False, 'state': 'TX', 'military_component': 'Navy Active', 'airport_type': 'heliport', 'sighted_at': '19970610', 'military_area': 81654, 'population': 0}
199204306999.json,0.0213815789474,../datasets/JSON/199204306999.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Warren', 'dist_to_military_base': 2, 'windy': False, 'state': 'IA', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19920430', 'military_area': 2338, 'population': 0}
1994120946.json,0.0213815789474,../datasets/JSON/1994120946.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Hartford', 'dist_to_military_base': 4, 'windy': False, 'state': 'CT', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19941209', 'military_area': 2160, 'population': 8}
199310106819.json,0.0213815789474,../datasets/JSON/199310106819.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': False, 'dusty': False, 'countyName': 'Washington', 'dist_to_military_base': 11, 'windy': False, 'state': 'IL', 'military_component': 'AF Guard', 'airport_type': 'heliport', 'sighted_at': '19931010', 'military_area': 1294, 'population': 0}
199810297202.json,0.0213815789474,../datasets/JSON/199810297202.json,{'rainy': True, 'dist_to_airport': 0, 'snowy': True, 'dusty': False, 'countyName': 'Davidson', 'dist_to_military_base': 0, 'windy': False, 'state': 'TN', 'military_component': 'Army Guard', 'airport_type': 'heliport', 'sighted_at': '19981029', 'military_area': 818, 'population': 5}
